"I'll Get You",1963
"I'm a Loser",1964
"I'm Down",1965
"I'm Happy Just to Dance with You",1964
"I'm Looking Through You",1965
"I'm Only Sleeping",1966
"I'm So Tired",1968
"I've Got a Feeling",1970
"I've Just Seen a Face",1965
"In My Life",1965
"The Inner Light",1968
"It Won't Be Long",1963
"It's All Too Much",1969
"It's Only Love",1965
"Julia",1968
"Kansas City/Hey-Hey-Hey-Hey!",1964
"Komm, gib mir deine Hand",1964
"Lady Madonna",1968
"Let It Be",1970
"Little Child",1963
"The Long and Winding Road",1970
"Long Tall Sally",1964
"Long, Long, Long",1968
"Love Me Do",1962
"Love You To",1966
"Lovely Rita",1967
"Lucy in the Sky with Diamonds",1967
"Maggie Mae",1970
"Magical Mystery Tour",1967
"Martha My Dear",1968
"Matchbox",1964
"Maxwell's Silver Hammer",1969
"Mean Mr. Mustard",1969
"Michelle",1965
"Misery",1963
"Money (That's What I Want)",1963
"Mother Nature's Son",1968
"Mr. Moonlight",1964
"The Night Before",1965
"No Reply",1964
"Norwegian Wood (This Bird Has Flown)",1965
"Not a Second Time",1963
"Nowhere Man",1965
"Ob-La-Di, Ob-La-Da",1968
"Octopus's Garden",1969
"Oh! Darling",1969
"Old Brown Shoe",1969
"One After 909",1970
"Only a Northern Song",1969
"Paperback Writer",1966
"Penny Lane",1967
"Piggies",1968
"Please Mr. Postman",1963
"Please Please Me",1963
"Polythene Pam",1969
"P.S. I Love You",1962
"Rain",1966
"Revolution",1968
"Revolution 1",1968
"Revolution 9",1968
"Rock and Roll Music",1964
"Rocky Raccoon",1968
"Roll Over Beethoven",1963
"Run for Your Life",1965
"Savoy Truffle",1968
"Sexy Sadie",1968
"Sgt. Pepper's Lonely Hearts Club Band",1967
"Sgt. Pepper's Lonely Hearts Club Band (Reprise)",1967
"She Came In Through the Bathroom Window",1969
"She Loves You",1963
"She Said She Said",1966
"She's a Woman",1964
"She's Leaving Home",1967
"Sie liebt dich",1964
"Slow Down",1964
"Something",1969
"Strawberry Fields Forever",1967
"Sun King",1969
"A Taste of Honey",1963
"Taxman",1966
"Tell Me What You See",1965
"Tell Me Why",1964
"Thank You Girl",1963
"There's a Place",1963
"Things We Said Today",1964
"Think for Yourself",1965
"This Boy",1963
"Ticket to Ride",1965
"Till There Was You",1963
"Tomorrow Never Knows",1966
"Twist and Shout",1963
"Two of Us",1970
"Wait",1965
"We Can Work It Out",1965
"What Goes On",1965
"What You're Doing",1964
"When I Get Home",1964
"When I'm Sixty-Four",1967
"While My Guitar Gently Weeps",1968
"Why Don't We Do It in the Road?",1968
"Wild Honey Pie",1968
"With a Little Help from My Friends",1967
"Within You Without You",1967
"The Word",1965
"Words of Love",1964
"Yellow Submarine",1966
"Yer Blues",1968
"Yes It Is",1965
"Yesterday",1965
"You Can't Do That",1964
"You Know My Name (Look Up the Number)",1970
"You Like Me Too Much",1965
"You Never Give Me Your Money",1969
"You Won't See Me",1965
"Your Mother Should Know",1967
"You're Going to Lose That Girl",1965
"You've Got to Hide Your Love Away",1965
"You Really Got a Hold on Me",1963
"12-Bar Original",1996
"Ain't She Sweet",1996
"All Things Must Pass",1996
"Bad to Me",2013
"Beautiful Dreamer",2013
"Bésame Mucho",1995
"Blue Moon",2018
"Can You Take Me Back?",2018
"Carol",1994
"Cayenne",1995
"Child of Nature",2018
"Christmas Time (Is Here Again)",1995
"Circles",2018
"Clarabella",1994
"Come and Get It",1996
"Cry for a Shadow",1995
"Crying, Waiting, Hoping",1994
"Don't Ever Change",1994
"Free as a Bird",1995
"Glad All Over",1994
"Goodbye",2019
"Hallelujah, I Love Her So",1995
"Hello Little Girl",1995
"The Hippy Hippy Shake",1994
"The Honeymoon Song",1994
"How Do You Do It?",1995
"I Forgot to Remember to Forget",1994
"I Got a Woman",1994
"I Got to Find My Baby",1994
"I Just Don't Understand",1994
"I'll Be on My Way",1994
"I'm In Love",2013
"I'm Gonna Sit Right Down and Cry (Over You)",1994
"I'm Talking About You",2013
"If You've Got Trouble",1996
"In Spite of All the Danger",1995
"Jazz Piano Song",1970
"Jessie's Dream",1967
"Johnny B. Goode",1994
"Junk",1996
"Keep Your Hands off My Baby",1994
"Lawdy Miss Clawdy",1970
"Leave My Kitten Alone",1995
"Lend Me Your Comb",1995
"Like Dreamers Do",1995
"Lonesome Tears in My Eyes",1994
"Lucille",1994
"Mailman, Bring Me No More Blues",1996
"Memphis, Tennessee",1994
"Moonlight Bay",1995
"My Bonnie",1995
"Not Guilty",1996
"Nothin' Shakin'",1994
"Ooh! My Soul",1994
"Real Love",1996
"Rip It Up"/"Shake, Rattle and Roll"/"Blue Suede Shoes",1996
"Searchin'",1995
"The Sheik of Araby",1995
"A Shot of Rhythm and Blues",1994
"Shout",1995
"So How Come (No One Loves Me)",1994
"Soldier of Love (Lay Down Your Arms)",1994
"Some Other Guy",1994
"Sour Milk Sea",2018
"Step Inside Love/Los Paranoias",1996
"St. Louis Blues",2018
"Sure to Fall (in Love with You)",1994
"Suzy Parker",1970
"Sweet Little Sixteen",1994
"Teddy Boy",1996
"That Means a Lot",1996
"That'll Be the Day",1995
"That’s All Right (Mama)",1994
"Three Cool Cats",1995
"To Know Her Is to Love Her",1994
"Too Much Monkey Business",1994
"What's the New Mary Jane",1996
"You Know What to Do",1995
"Young Blood",1994
"You'll Be Mine",1995
"(You're So Square) Baby I Don't Care",2018
